batch_idx,image_idx,original_dice,normalized_dice,original_iou,normalized_iou,original_pixel_acc,normalized_pixel_acc,original_precision,normalized_precision,original_recall,normalized_recall,original_f1,normalized_f1
0,0,0.4912323245434642,0.3679793941328405,0.40335013039059603,0.30644326017362794,0.80438232421875,0.7697296142578125,0.527980390907126,0.5248412676259837,0.46383924115870095,0.3122848622221167,0.49123232416803136,0.3679793937049553
0,1,0.44727429150314874,0.4288546009839002,0.379468105656396,0.34874707496074214,0.88177490234375,0.7851104736328125,0.5158397582768185,0.56398343146022,0.4039278054515547,0.3595858592162655,0.44727429053021334,0.4288546000924642
0,2,0.45574621099329,0.33939739452470685,0.37862674645684824,0.2913423947579701,0.78131103515625,0.7158203125,0.5553361188473138,0.6811193557864429,0.4830980836104444,0.3069986294625867,0.4557462109226093,0.3393973943980177
0,3,0.31072361766491374,0.30133401698431456,0.27307163065900364,0.25508806397362865,0.7588958740234375,0.65838623046875,0.3029612214460327,0.39627130819896744,0.325309808465993,0.28399871749778777,0.3107236174727796,0.3013340167658084
1,0,0.3274891846870328,0.4157018080887712,0.2540338923601036,0.32402935049403414,0.650726318359375,0.75091552734375,0.3712732685422361,0.41588182759082293,0.38423962434787373,0.42477707391925645,0.3274891840882709,0.41570180696360404
1,1,0.32029753600866967,0.36076518242993094,0.24999681245815744,0.29901227554273563,0.6521759033203125,0.7706451416015625,0.44384981671744206,0.42801752749662997,0.25847028298204944,0.31457540219043345,0.3202975335198095,0.36076518168258276
1,2,0.3358129468494411,0.23805006578711466,0.3215435390947694,0.16625035330992213,0.936676025390625,0.4405670166015625,0.49474474391284273,0.3880662470800424,0.32600145402244013,0.17181269932696552,0.33581294469907513,0.2380500648256889
1,3,0.3231242119092264,0.32939621069327163,0.23784638535203328,0.2253538355103357,0.5907745361328125,0.55413818359375,0.39789298752274294,0.4504243967813455,0.2806439859717448,0.36821649698093273,0.3231242114718129,0.3293962101966457
2,0,0.4223778917283843,0.9447038742718052,0.26773071290179856,0.8952026367203492,0.267730712890625,0.89520263671875,1.0,1.0,0.267730712890625,0.89520263671875,0.42237789172143186,0.94470387427136
2,1,0.559689862859342,0.6477842931167148,0.5104064447604408,0.557064497549071,0.89691162109375,0.8609466552734375,0.9761110264437498,0.9870159571922084,0.5240909165611265,0.56288207594167,0.5596898627832284,0.6477842930641364
2,2,0.23985849627668587,0.26682835699461055,0.1662847366273759,0.1940823917584586,0.49298095703125,0.5788116455078125,0.2994255701307582,0.31039138644574304,0.27806461635556023,0.26297124809708583,0.23985849608031706,0.26682835678009675
2,3,0.3266263220899896,0.4544495232690095,0.2544956030047157,0.34812646334998304,0.6004180908203125,0.67596435546875,0.598528740943305,0.5918140571569845,0.3601264962524799,0.41465626634931024,0.32662632200546693,0.45444952317092463
3,0,0.24211943071593175,0.302562688235472,0.1529624045372941,0.21279450025921023,0.3573150634765625,0.516082763671875,0.382384704043665,0.3882589380485323,0.25997062316527786,0.25850919119593363,0.24211943015586743,0.3025626875270018
3,1,0.387331140088641,0.46279428743522866,0.29480283195944545,0.35429070985744887,0.6414337158203125,0.7191619873046875,0.5381507564261522,0.5227442113768104,0.378072879011667,0.4238798636131367,0.3873311399686202,0.462794287338514
3,2,0.2581008441621913,0.2557919910522719,0.16384821963978036,0.17201111798434449,0.3631439208984375,0.4689178466796875,0.3516302923084971,0.3183944199832115,0.3146142283163529,0.25499355672587093,0.2581008439023791,0.2557919906382641
3,3,0.3592806695442958,0.508550020577536,0.2417808582051562,0.3657217347603725,0.3155975341796875,0.48052978515625,0.739580491052451,0.7439905382943357,0.277035887239953,0.4345592110126003,0.35928066952626586,0.5085500205652327
4,0,0.34817630767432295,0.6040685282197213,0.2631172586338396,0.471913188390833,0.344329833984375,0.5784149169921875,0.7753937566649022,0.852372032055068,0.310021987108697,0.5439575778737378,0.3481763076550475,0.6040685282101335
4,1,0.3401450009511636,0.3048603669821019,0.256998130867822,0.24344567237900608,0.5875701904296875,0.6898040771484375,0.4012302095525956,0.44832379703338743,0.30069840242187923,0.28151015088270853,0.3401450003548798,0.3048603663578185
4,2,0.4548097344821029,0.4507983416131525,0.34309116441628534,0.34655098354635205,0.57403564453125,0.6582794189453125,0.5522205114839999,0.6512624509122644,0.4130745011693587,0.3780248684607146,0.45480973439241157,0.45079834155276827
4,3,0.20193697350843945,0.2498641375139406,0.14187194881095172,0.18485383644080633,0.427276611328125,0.5798492431640625,0.24412186357680227,0.33073696272721975,0.27303620212562796,0.24150211542123895,0.20193697318378256,0.24986413714446143
5,0,0.31602513891406525,0.3939992924334275,0.23549020938116272,0.30754290571169196,0.63885498046875,0.7633209228515625,0.446838815969836,0.4847174023609696,0.4109665500874916,0.4015765740305245,0.31602513841756236,0.393999291925124
5,1,0.33786587329664325,0.3541391957585977,0.23998504231337323,0.2752216586432182,0.5296783447265625,0.662872314453125,0.40172462547608623,0.4689034595939529,0.4101390012032607,0.29106584497503174,0.33786587312070177,0.35413919532024724
5,2,0.5140450875725272,0.6869023812783904,0.37742402889514876,0.5727539049410075,0.5648651123046875,0.826507568359375,0.8897975251285983,0.9222345588328211,0.3826645910276581,0.583280397026938,0.5140450874927127,0.6869023812237864
5,3,0.3050479780342338,0.3499058440772997,0.2575697482927532,0.2782729863012358,0.8276519775390625,0.7773284912109375,0.43331144118465165,0.42747107374906695,0.27257833737117426,0.30446964475793165,0.3050479774397261,0.34990584373687755
6,0,0.2977742583560363,0.34382555717928465,0.2261089886840976,0.27267408403490523,0.66180419921875,0.7655181884765625,0.3998480509384733,0.40844355872118854,0.338429906017311,0.30699651826337226,0.29777425781355504,0.34382555666604
