,original_mean,normalized_mean,improvement_percent,wilcoxon_statistic,wilcoxon_p_value,ttest_statistic,ttest_p_value,sample_size,significant_wilcoxon,significant_ttest
dice,0.3569164533765673,0.41453229414533665,16.142668746061236,78.0,0.021908342838287354,2.2207502551550773,0.0360603808787564,25,True,True
iou,0.27567622297437394,0.3307515952540516,19.978281654271406,80.0,0.02550506591796875,1.9178173517848274,0.06710920338318387,25,True,False
pixel_acc,0.6059326171875,0.6777130126953125,11.84626697288367,61.0,0.0050716400146484375,1.9004046139922184,0.06945769113989862,25,True,False
precision,0.5216070674998831,0.5482272066601688,5.103485136403311,63.0,0.012929172172726561,2.6672741847426824,0.013478904637057695,25,True,True
recall,0.34787384497345203,0.375291499286516,7.881493452074947,147.0,0.6915188431739807,0.8544237767139865,0.40131885790061916,25,False,False
f1,0.3569164529154623,0.4145322937649022,16.142668789518236,78.0,0.021908342838287354,2.220750259290927,0.036060380562934403,25,True,True
