metric,n,wilcoxon_stat,p_value,effect_r,mean_diff
energy,100,732.0,0.99999999542991,-0.574595836043576,-0.2403834775405588
point,100,291.5,0.9999841051311913,-0.41602514716895744,-0.3
iou,100,1828.0,0.8114358050096291,-0.08831996883117402,-0.008234734291708281
