tissue,image_id,energy_orig,energy_norm,point_orig,point_norm,iou_orig,iou_norm
Adrenal_gland,img_Adrenal_gland_1_01542.png,0.052442163206252244,0.0017055595519584361,0.0,0.0,0.0010245901634095337,0.0
Adrenal_gland,img_Adrenal_gland_3_01406.png,0.9209880556522895,0.36200526328697064,1.0,0.0,0.01787143237720154,0.022466173085916218
Adrenal_gland,img_Adrenal_gland_1_01217.png,0.887951692118429,0.13521890182903495,1.0,0.0,0.002884778550333484,0.023270245109638495
Adrenal_gland,img_Adrenal_gland_1_01565.png,0.8672842896906231,0.23663164963429872,1.0,0.0,0.030332056189282877,0.030413625299511308
Adrenal_gland,img_Adrenal_gland_1_01572.png,0.8461657899633482,0.03259654026691188,1.0,0.0,0.058070866130301005,0.004573945450690505
Adrenal_gland,img_Adrenal_gland_3_01196.png,0.5161678416341644,0.25375420056481685,0.0,1.0,0.002221516978384399,0.03228810927781929
Adrenal_gland,img_Adrenal_gland_3_01418.png,0.8000593992307004,0.3715702438276441,1.0,0.0,0.0026516407023918194,0.004371584698975783
Adrenal_gland,img_Adrenal_gland_1_01523.png,0.8956838972341706,0.3592381422177377,1.0,0.0,0.0009510977252158914,0.014656583767470446
Adrenal_gland,img_Adrenal_gland_1_01557.png,0.5829707576663098,0.3024146472404824,0.0,1.0,0.0,0.016130510492518513
Adrenal_gland,img_Adrenal_gland_3_01100.png,0.5458570761504802,0.2836273669269929,1.0,0.0,0.0004840856831073356,0.0008370202079592227
Adrenal_gland,img_Adrenal_gland_1_01171.png,0.7488020346241908,0.6984765183171611,1.0,1.0,0.010127803230640957,0.014543269229895236
Adrenal_gland,img_Adrenal_gland_3_01463.png,0.5843000611145875,0.058686017199063925,0.0,0.0,0.009645194622926217,0.004998437986567186
Adrenal_gland,img_Adrenal_gland_1_01196.png,0.42585042249481925,0.5883169857965339,0.0,1.0,0.0006168397244148411,0.040446725018568594
Adrenal_gland,img_Adrenal_gland_1_01531.png,0.614148264562428,0.2151015562777746,1.0,0.0,0.06253489668829289,0.009239704327022254
Adrenal_gland,img_Adrenal_gland_3_01425.png,0.8059606691862451,0.19899004858933936,0.0,0.0,0.02623966941606618,0.0011961722485653564
Adrenal_gland,img_Adrenal_gland_1_01520.png,0.9859245252000457,0.4692064766695682,1.0,0.0,0.007587448559182906,0.06977893046376565
