tissue,image_id,energy_orig,energy_norm,point_orig,point_norm,iou_orig,iou_norm
Colon,img_Colon_1_02000.png,0.8753259169115867,0.59304166183419,1.0,0.0,0.16922373831891208,0.029207503081118483
Colon,img_Colon_2_01647.png,0.9423256830836273,0.4469426705609237,1.0,1.0,0.019337777531852913,0.002083561793942123
Colon,img_Colon_2_00692.png,0.6979548050982778,0.6207890457901206,1.0,1.0,0.0012381809994800664,0.002364199268090954
Colon,img_Colon_1_02016.png,0.8703341219888641,0.7972538604202799,1.0,0.0,0.3313392616366834,0.026451060182777306
Colon,img_Colon_3_01883.png,0.8601821812327693,0.5951110524473382,1.0,1.0,0.2902531854878784,0.012258606212579983
Colon,img_Colon_1_01921.png,0.9258286788455113,0.7838388963636673,1.0,1.0,0.06618159637216009,0.09609283323499096
Colon,img_Colon_3_01804.png,0.0,0.0,0.0,0.0,0.0,0.0
Colon,img_Colon_3_00706.png,0.8144334502259865,0.39348631803343526,1.0,1.0,0.0756748322631885,0.1121018522722755
Esophagus,img_Esophagus_2_01836.png,0.6032429287895655,0.4200283898028579,0.0,1.0,0.010674681313019517,0.010303967026243794
Esophagus,img_Esophagus_2_01077.png,0.9999999081377007,0.0,1.0,0.0,0.0011363636362560262,0.0
Esophagus,img_Esophagus_2_00883.png,0.0,0.007351165558512807,0.0,0.0,0.0,0.00037216226260805275
Esophagus,img_Esophagus_1_00997.png,0.0,0.0,0.0,0.0,0.0,0.0
Esophagus,img_Esophagus_1_01011.png,0.009276170215906992,0.008254827159408711,0.0,0.0,0.0,0.0
Esophagus,img_Esophagus_1_01263.png,0.0,0.002162006997057951,0.0,0.0,0.0,0.0
Esophagus,img_Esophagus_1_01130.png,0.0,0.0,0.0,0.0,0.0,0.0
Esophagus,img_Esophagus_3_01979.png,0.6077240398263598,0.31854681258391154,1.0,1.0,0.05155761120234558,0.022612032338959566
Esophagus,img_Esophagus_1_01225.png,0.9089938188355552,0.013366393210487878,1.0,0.0,0.005087209301709398,0.0
Esophagus,img_Esophagus_3_01175.png,0.9976297491166739,0.22515606983821962,1.0,0.0,0.0006266505527672597,0.001113585746052847
Esophagus,img_Esophagus_1_01219.png,0.999382328058269,0.0,1.0,0.0,0.0035796471486090964,0.0
Esophagus,img_Esophagus_3_00914.png,0.0,0.540268780166807,0.0,1.0,0.0,0.03024625267550297
Esophagus,img_Esophagus_2_01090.png,0.8528083802445925,0.445833910977261,1.0,1.0,0.0819068471256064,0.06915993233704568
Esophagus,img_Esophagus_2_00991.png,0.8010873881389691,0.022664796238523754,1.0,0.0,0.13038793096423063,0.005315379161830128
Esophagus,img_Esophagus_1_01002.png,0.0008064427108909547,0.003241126258861579,0.0,0.0,0.0,0.0
Esophagus,img_Esophagus_3_01978.png,0.594520415151398,0.41357131950143444,1.0,0.0,0.03441790482707957,0.004763649687657814
Esophagus,img_Esophagus_3_00899.png,0.0,0.6197170072526013,0.0,0.0,0.0,0.006807895637363256
Esophagus,img_Esophagus_3_01166.png,0.86068122763468,0.5597735709683413,1.0,0.0,0.2472265364850662,0.08194918050368775
Esophagus,img_Esophagus_1_01241.png,0.5464646623078059,0.00028492764133694224,1.0,0.0,0.010085728688812037,0.0
Esophagus,img_Esophagus_1_01000.png,0.0,0.027697966505589255,0.0,0.0,0.0,0.006470588231487889
