tissue,image_id,model,pq,f1_object,aji,dice_bin
Adrenal_gland,Adrenal_gland/test/00000_0,unet_baseline,0.0,0.0,0.0,0.42777811733272797
Adrenal_gland,Adrenal_gland/test/00000_0,sam_vit_b,0.0,0.0,0.0049179817598904345,0.38638297722216186
Adrenal_gland,Adrenal_gland/test/00000_0,sam_vit_l,0.0,0.0,0.005272618334331935,0.30135928384599886
Adrenal_gland,Adrenal_gland/test/00000_0,sam_vit_h,0.0,0.0,0.005776892430278884,0.3325889702316189
Adrenal_gland,Adrenal_gland/test/00000_1,unet_baseline,0.0,0.0,0.0,0.4519209861675615
Adrenal_gland,Adrenal_gland/test/00000_1,sam_vit_b,0.0,0.0,0.004540906642038021,0.422082766432289
Adrenal_gland,Adrenal_gland/test/00000_1,sam_vit_l,0.0,0.0,0.0043391477913737745,0.31716615136315673
Adrenal_gland,Adrenal_gland/test/00000_1,sam_vit_h,0.0,0.0,0.004718081659105638,0.36590151189094855
Adrenal_gland,Adrenal_gland/test/00000_2,unet_baseline,0.0,0.0,0.0,0.9819017880722686
Adrenal_gland,Adrenal_gland/test/00000_2,sam_vit_b,0.0,0.0,0.00722754073416598,0.4359769067152841
Adrenal_gland,Adrenal_gland/test/00000_2,sam_vit_l,0.0,0.0,0.007684303209797487,0.31214833074326137
Adrenal_gland,Adrenal_gland/test/00000_2,sam_vit_h,0.0,0.0,0.008116160405465566,0.36576342562528286
Adrenal_gland,Adrenal_gland/test/00000_3,unet_baseline,0.0,0.0,0.0,0.9439471457922088
Adrenal_gland,Adrenal_gland/test/00000_3,sam_vit_b,0.0,0.0,0.013965796050374872,0.4211994926617141
Adrenal_gland,Adrenal_gland/test/00000_3,sam_vit_l,0.0,0.0,0.016736401673640166,0.3060408596564536
Adrenal_gland,Adrenal_gland/test/00000_3,sam_vit_h,0.0,0.0,0.016740596706568633,0.3612958087022447
Adrenal_gland,Adrenal_gland/test/00000_4,unet_baseline,0.0,0.0,0.0,0.9875404568241682
Adrenal_gland,Adrenal_gland/test/00000_4,sam_vit_b,0.0,0.0,0.0024752475247524753,0.43855901177565104
Adrenal_gland,Adrenal_gland/test/00000_4,sam_vit_l,0.0,0.0,0.0023241986919625966,0.3129575246850528
Adrenal_gland,Adrenal_gland/test/00000_4,sam_vit_h,0.0,0.0,0.0026414188192514835,0.3642728093947606
Adrenal_gland,Adrenal_gland/test/00000_5,unet_baseline,0.0,0.0,0.0,0.9288265243578533
