image_id,tissue,model,fold,PQ,Dice,AJI,F1
Breast/test/000000,Breast,expert,-1,0.3449334125045096,0.13901955236444707,0.5275935427355776,0.42105263157894735
Breast/test/000000,Breast,unified,-1,0.3288433971336639,0.3880261160920544,0.5667355846542614,0.4166666666666667
Breast/test/000001,Breast,expert,-1,0.27295169815549103,0.07900963175446599,0.5270722162931342,0.36363636363636365
Breast/test/000001,Breast,unified,-1,0.30220019563053574,0.3485944403174727,0.5600140795494544,0.42424242424242425
Breast/test/000002,Breast,expert,-1,0.4418309910810206,0.3164054867752711,0.6097054753903933,0.6
Breast/test/000002,Breast,unified,-1,0.2048718087302065,0.25632160300979,0.46154431922022543,0.3111111111111111
Breast/test/000003,Breast,expert,-1,0.6359967120067923,0.17241603326187227,0.6804189824711415,0.8571428571428571
Breast/test/000003,Breast,unified,-1,0.42338205764158715,0.4703960342140612,0.5166967509025271,0.5454545454545454
Breast/test/000004,Breast,expert,-1,0.5418367130346471,0.24846455164820344,0.5821118755608735,0.8
Breast/test/000004,Breast,unified,-1,0.5801435351518539,0.38645264832735204,0.6363388722418959,0.75
Breast/test/000005,Breast,expert,-1,0.502260851255232,0.1608998602355836,0.49965619986247994,0.6956521739130435
Breast/test/000005,Breast,unified,-1,0.36596020772523696,0.3124087861751528,0.23274863478404767,0.6
Breast/test/000006,Breast,expert,-1,0.402733418849332,0.2338832571390711,0.5402235407754933,0.5714285714285714
Breast/test/000006,Breast,unified,-1,0.4347841444475584,0.41611286034885325,0.627906976744186,0.5333333333333333
Breast/test/000007,Breast,expert,-1,0.35243773824416796,0.05026695758233195,0.3571878177504479,0.47058823529411764
Breast/test/000007,Breast,unified,-1,0.32663091166686725,0.1631098664938244,0.29518046798967545,0.43478260869565216
Breast/test/000008,Breast,expert,-1,0.5276257103921513,0.10224485979988625,0.5554689240365337,0.7333333333333333
Breast/test/000008,Breast,unified,-1,0.47208073149553853,0.07924574729859848,0.434989010989011,0.6896551724137931
Breast/test/000009,Breast,expert,-1,0.4068208320702442,0.0722750942718621,0.31836983793313894,0.5333333333333333
Breast/test/000009,Breast,unified,-1,0.4340898860668741,0.1572913482115561,0.32629815745393637,0.5517241379310345
Breast/test/000010,Breast,expert,-1,0.14810518174787315,0.1617932502962282,0.30548359240069084,0.16666666666666666
Breast/test/000010,Breast,unified,-1,0.1875268586162441,0.7717188137219482,0.2997815799053513,0.2857142857142857
Breast/test/000011,Breast,expert,-1,0.46257309706462846,0.09071362806450517,0.5055161897928065,0.64
Breast/test/000011,Breast,unified,-1,0.33040056929518824,0.5127781831220632,0.45362200637651073,0.41379310344827586
Breast/test/000012,Breast,expert,-1,0.2880343419122357,0.08563333254108128,0.16331990431826765,0.40625
Breast/test/000012,Breast,unified,-1,0.28343154887873667,0.08651477832512315,0.15153556446921215,0.4
Breast/test/000013,Breast,expert,-1,0.35029936315824617,0.06634362013532143,0.40906781813563625,0.46153846153846156
Breast/test/000013,Breast,unified,-1,0.1653739152336684,0.3774257226958631,0.10898293743726999,0.19047619047619047
Breast/test/000014,Breast,expert,-1,0.44678712716967217,0.11248036194980168,0.5541450777202073,0.6222222222222222
Breast/test/000014,Breast,unified,-1,0.34378653442879403,0.44814261676292694,0.4751071546323772,0.46808510638297873
Breast/test/000015,Breast,expert,-1,0.172905705342,0.10845092765074528,0.23341051561529338,0.25
Breast/test/000015,Breast,unified,-1,0.17448265073278799,0.12402783462955383,0.15458680085155796,0.25
Breast/test/000016,Breast,expert,-1,0.29462194049191043,0.10546584337012263,0.338528951486698,0.42857142857142855
Breast/test/000016,Breast,unified,-1,0.2685311051481963,0.10686145764937623,0.3074013057538593,0.3902439024390244
Breast/test/000017,Breast,expert,-1,0.34228785883429785,0.2745907662984749,0.32493609578904886,0.4772727272727273
Breast/test/000017,Breast,unified,-1,0.30321557799062426,0.07425585802015337,0.27194668717160064,0.43037974683544306
Breast/test/000018,Breast,expert,-1,0.38956131873949557,0.25487418051063704,0.3759066030359406,0.54
Breast/test/000018,Breast,unified,-1,0.28609826966155244,0.08552193504199955,0.2770725552050473,0.4044943820224719
Breast/test/000019,Breast,expert,-1,0.30561239857899575,0.13304023293577774,0.22786111322622402,0.41509433962264153
Breast/test/000019,Breast,unified,-1,0.3159449797860484,0.24388574059168283,0.16555664491700192,0.425531914893617
Breast/test/000020,Breast,expert,-1,0.5510845035789285,0.06285240464344942,0.5849522555153112,0.7692307692307693
Breast/test/000020,Breast,unified,-1,0.4802078884898308,0.11612426035502958,0.5520499923792105,0.6666666666666666
Breast/test/000021,Breast,expert,-1,0.3045054531874531,0.013438074312691539,0.3293855302279485,0.42857142857142855
Breast/test/000021,Breast,unified,-1,0.2021445353026479,0.11024518916530597,0.23367558317571827,0.2978723404255319
Breast/test/000022,Breast,expert,-1,0.4620927904636244,0.11028899534233606,0.6432191675625863,0.6285714285714286
Breast/test/000022,Breast,unified,-1,0.3614921902139113,0.20150132859999073,0.5911035072711719,0.5
Breast/test/000023,Breast,expert,-1,0.49434844816569073,0.05903341635145221,0.4598376714245732,0.6666666666666666
Breast/test/000023,Breast,unified,-1,0.3837486330050455,0.19973445114384084,0.37196742391770254,0.5238095238095238
Breast/test/000024,Breast,expert,-1,0.5335551462674938,0.18563254013548733,0.5728112626484821,0.7272727272727273
Breast/test/000024,Breast,unified,-1,0.41004162791495763,0.2090727448568887,0.42154411764705885,0.5357142857142857
Breast/test/000025,Breast,expert,-1,0.2597351017935945,0.21668272451083456,0.39188900747065103,0.375
Breast/test/000025,Breast,unified,-1,0.27341416991739637,0.4342850472835402,0.46471734892787525,0.4
Breast/test/000026,Breast,expert,-1,0.4618567263214357,0.09329554752707585,0.5417134306023195,0.6666666666666666
Breast/test/000026,Breast,unified,-1,0.4761668693414673,0.10808614384396587,0.5108035111411209,0.7272727272727273
Breast/test/000027,Breast,expert,-1,0.2375527492120036,0.026017794828653774,0.2352656366917558,0.358974358974359
Breast/test/000027,Breast,unified,-1,0.3370337623746618,0.16567799779107564,0.24552029112349716,0.46153846153846156
Breast/test/000028,Breast,expert,-1,0.1489847625911968,0.06446384140781068,0.16333886984485987,0.21428571428571427
Breast/test/000028,Breast,unified,-1,0.1585064429328684,0.09963838676563153,0.1944413145539906,0.21818181818181817
Breast/test/000029,Breast,expert,-1,0.22911192132958874,0.010289737097837023,0.17959214237575818,0.3013698630136986
Breast/test/000029,Breast,unified,-1,0.2004025613206747,0.07479093351496575,0.21865696328150844,0.2702702702702703
Breast/test/000030,Breast,expert,-1,0.2766806398316102,0.08194048492514971,0.2540389485634442,0.3880597014925373
Breast/test/000030,Breast,unified,-1,0.3158841371488379,0.17810328083886207,0.32274673981040375,0.44776119402985076
Breast/test/000031,Breast,expert,-1,0.2673920699725876,0.02780495189222357,0.27277386290839206,0.36923076923076925
Breast/test/000031,Breast,unified,-1,0.29491026028997286,0.1897665235344784,0.27263009364176677,0.43333333333333335
Breast/test/000032,Breast,expert,-1,0.5019471213335084,0.001637821453016525,0.5458968397485576,0.6753246753246753
Breast/test/000032,Breast,unified,-1,0.34396947576739845,0.0,0.2989559126763329,0.45161290322580644
Breast/test/000033,Breast,expert,-1,0.24882192061356756,0.10468214877176019,0.326671647366455,0.36363636363636365
Breast/test/000033,Breast,unified,-1,0.32360330333921783,0.4845504344398056,0.33688404618637174,0.47619047619047616
Breast/test/000034,Breast,expert,-1,0.447024397426137,0.2634307812714287,0.4818249813014211,0.5882352941176471
Breast/test/000034,Breast,unified,-1,0.4535239562769499,0.3763650751482759,0.4753061499125286,0.5945945945945946
Breast/test/000035,Breast,expert,-1,0.4082583576999302,0.1147093241263196,0.5764159596422839,0.5517241379310345
Breast/test/000035,Breast,unified,-1,0.36509586068357114,0.09422083512699096,0.31911874827572617,0.5098039215686274
Breast/test/000036,Breast,expert,-1,0.4319354819394047,0.04338834502372296,0.4720526346985952,0.6268656716417911
Breast/test/000036,Breast,unified,-1,0.30521936512456105,0.0526588040554521,0.3032894417180895,0.41935483870967744
