tissue,mean_delta,ci_low,ci_high,n
Adrenal_gland,-0.11083077939373152,-0.14223870845479408,-0.07998588932313484,88
Bile-duct,-0.1985406932305963,-0.22806837161328133,-0.1678744360090054,84
Breast,0.043410044029982386,0.03425829835459316,0.05259633055030574,471
Colon,-0.06773739573114795,-0.08555705911752672,-0.049736263206942265,288
Esophagus,-0.2847852529803223,-0.3284478813639359,-0.24256858210593762,85
