metric,statistic,p_value,effect_cohens_dz,p_adj_bh,significant@0.05
Dice,-7.260518481363516,0.9990445006973525,-3.2470025752444727,1.2720303014750607,False
AJI,-1.6816948071826885,0.9160396680043502,-0.7520767812537785,3.664158672017401,False
PQ,-2.2067870871972874,0.9540227261062956,-0.9869051877683781,1.899783063444916,False
F1,-2.1299199249740877,0.949891531722458,-0.9525291477746622,0.9990445006973525,False
